ID,Sex,Animal Weight,Material,Session,Cohort,Fluid,Concentration,Start,Stop,Leak,Diff,Intake,mls,mlskg
7B,M,23,Plastic,4,1,Water,,18.58,15.65,,2.929999999999998,127.3913043,2.929999999999998,
1C,F,19,Plastic,1,2,Water,,16.22,14.29,,1.9299999999999997,101.57894736842104,1.9299999999999997,
2C,F,20,Plastic,1,2,Water,,17.18,14.25,,2.9299999999999997,146.49999999999997,2.9299999999999997,
3C,F,20,Plastic,1,2,Water,,17.4,13.14,,4.259999999999998,212.9999999999999,4.259999999999998,
4C,F,20,Plastic,1,2,Water,,17.1,12.97,,4.130000000000001,206.50000000000003,4.130000000000001,
5C,M,26,Plastic,1,2,Water,,16.96,14.02,,2.9400000000000013,113.07692307692312,2.9400000000000013,
6C,M,26,Plastic,1,2,Water,,14.65,12.07,,2.58,99.23076923076923,2.58,
7C,M,25,Plastic,1,2,Water,,16.39,14.77,,1.620000000000001,64.80000000000004,1.620000000000001,
1D,F,20,Metal,1,2,Water,,54.98,52.08,,2.8999999999999986,144.99999999999991,2.8999999999999986,
2D,F,20,Metal,1,2,Water,,55.51,54.72,,0.7899999999999991,39.49999999999996,0.7899999999999991,
3D,F,18,Metal,1,2,Water,,55.21,52.1,,3.1099999999999994,172.77777777777771,3.1099999999999994,
4D,F,19,Metal,1,2,Water,,55.19,53.57,,1.6199999999999974,85.26315789473671,1.6199999999999974,
5D,M,23,Metal,1,2,Water,,55.52,52.29,,3.230000000000004,140.43478260869583,3.230000000000004,
7D,M,23,Metal,1,2,Water,,55.51,53.15,,2.3599999999999994,102.60869565217389,2.3599999999999994,
1C,F,19,Plastic,2,2,Quinine,10,13.8,11.32,,2.4800000000000004,134.76015231175012,,130.52589236347887
2C,F,20,Plastic,2,2,Quinine,10,14.71,12.47,,2.24,115.63290488685655,,111.99963667317864
3C,F,20,Plastic,2,2,Quinine,10,14.93,14.48,,0.4499999999999993,23.229824642448826,,22.499927010236746
4C,F,20,Plastic,2,2,Quinine,10,14.8,13.29,,1.5100000000000016,77.94896713355071,,75.49975508
5C,M,26,Plastic,2,2,Quinine,10,15.15,14.86,,0.2900000000000009,11.515639566342205,,11.153809970886643
6C,M,26,Plastic,2,2,Quinine,10,15.33,14.68,,0.6500000000000004,25.810916269387633,,24.999918900263097
7C,M,25,Plastic,2,2,Quinine,10,16.82,15.14,,1.6799999999999997,69.37974293211391,,67.19978200390716
1C,F,19,Plastic,2,2,Water,,14.29,12.53,,1.7599999999999998,92.63157894736841,1.7599999999999998,
2C,F,20,Plastic,2,2,Water,,14.25,12.97,,1.2799999999999994,63.999999999999964,1.2799999999999994,
3C,F,20,Plastic,2,2,Water,,16.77,12.61,,4.16,208,4.16,
4C,F,20,Plastic,2,2,Water,,18.2,15.18,,3.0199999999999996,150.99999999999997,3.0199999999999996,
5C,M,26,Plastic,2,2,Water,,17.2,14.63,,2.5699999999999985,98.84615384615378,2.5699999999999985,
6C,M,26,Plastic,2,2,Water,,16.88,14.44,,2.4399999999999995,93.84615384615383,2.4399999999999995,
7C,M,25,Plastic,2,2,Water,,17.02,15.49,,1.5299999999999994,61.199999999999974,1.5299999999999994,
1D,F,20,Metal,2,2,Quinine,10,54.26,52.76,,1.5,77.43274880816287,,74.99975670078926
2D,F,20,Metal,2,2,Quinine,10,52.45,51.45,,1,51.621832538775244,,49.99983780052617
3D,F,18,Metal,2,2,Quinine,10,50.73,48.07,,2.6599999999999966,152.57119394793554,,147.77729838822162
5D,M,23,Metal,2,2,Quinine,10,52.74,49.98,,2.760000000000005,123.89239809306083,,119.99961072126305
6D,M,23,Metal,2,2,Quinine,10,53.54,49.59,,3.9499999999999957,177.30977263318434,,171.73857331485058
7D,M,23,Metal,2,2,Quinine,10,49.65,46.83,,2.8200000000000003,126.58571109508368,,122.60829791085551
1D,F,20,Metal,2,2,Water,,52.08,48.83,,3.25,162.5,3.25,
2D,F,20,Metal,2,2,Water,,54.72,50.59,,4.1299999999999955,206.49999999999977,4.1299999999999955,
3D,F,18,Metal,2,2,Water,,52.1,50.36,,1.740000000000002,96.66666666666677,1.740000000000002,
4D,F,19,Metal,2,2,Water,,53.57,48.45,,5.119999999999997,269.4736842105262,5.119999999999997,
5D,M,23,Metal,2,2,Water,,52.29,51.32,,0.9699999999999989,42.173913043478215,0.9699999999999989,
6D,M,23,Metal,2,2,Water,,53.91,52.69,,1.2199999999999989,53.04347826086952,1.2199999999999989,
7D,M,23,Metal,2,2,Water,,53.15,50.43,,2.719999999999999,118.26086956521735,2.719999999999999,
1C,F,19,Plastic,3,2,Quinine,30,18.32,16.54,,1.7800000000000011,96.72238501353857,,93.68329880045191
2C,F,20,Plastic,3,2,Quinine,30,14.45,13.88,,0.5699999999999985,29.42425364316346,,28.499722640699183
